short_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name,nationality_name,year,leaguePos
D. Calvert-Lewin,ST,77,12500000,68000,22,Everton,English Premier League,England,2020,8
M. Kean,ST,76,14500000,43000,19,Everton,English Premier League,Italy,2020,8
L. Baines,LB,75,2300000,58000,34,Everton,English Premier League,England,2020,8
J. Lössl,GK,75,5000000,47000,30,Everton,English Premier League,Denmark,2020,8
Y. Bolasie,"LM, RM, ST",75,6500000,63000,30,Everton,English Premier League,Congo DR,2020,8
M. Holgate,"RB, CB",75,8000000,49000,22,Everton,English Premier League,England,2020,8
T. Davies,"CM, CAM, CDM",75,9000000,47000,21,Everton,English Premier League,England,2020,8
M. Stekelenburg,GK,73,675000,26000,36,Everton,English Premier League,Netherlands,2020,8
O. Niasse,ST,73,4000000,61000,29,Everton,English Premier League,Senegal,2020,8
C. Martina,"RB, LB",70,1500000,35000,29,Everton,English Premier League,Curacao,2020,8
C. Connolly,"CDM, CM, RB",69,1700000,20000,21,Everton,English Premier League,England,2020,8
B. Baningime,"CDM, CM",67,1100000,15000,20,Everton,English Premier League,Congo DR,2020,8
M. Feeney,CB,64,925000,10000,20,Everton,English Premier League,England,2020,8
E. Simms,ST,64,950000,7000,18,Everton,English Premier League,England,2020,8
M. Mampala,"ST, LW, RW",63,775000,6000,18,Everton,English Premier League,England,2020,8
F. Hornby,ST,62,650000,8000,19,Everton,English Premier League,Scotland,2020,8
L. Digne,LB,84,45500000,110000,26,Everton,English Premier League,France,2021,12
Allan,CM,83,35500000,115000,29,Everton,English Premier League,Brazil,2021,12
J. Rodríguez,"CAM, CM, RM",82,30500000,105000,28,Everton,English Premier League,Colombia,2021,12
J. Pickford,GK,81,26000000,70000,26,Everton,English Premier League,England,2021,12
Richarlison,"ST, RM, LM",81,52000000,90000,23,Everton,English Premier League,Brazil,2021,12
S. Coleman,RB,79,12500000,76000,31,Everton,English Premier League,Republic of Ireland,2021,12
G. Sigurðsson,"CAM, CM",79,17000000,83000,30,Everton,English Premier League,Iceland,2021,12
André Gomes,"CM, CDM",79,20500000,83000,26,Everton,English Premier League,Portugal,2021,12
D. Calvert-Lewin,ST,79,27000000,80000,23,Everton,English Premier League,England,2021,12
Bernard,LM,78,15000000,76000,27,Everton,English Premier League,Brazil,2021,12
M. Keane,CB,78,14000000,69000,27,Everton,English Premier League,England,2021,12
A. Doucouré,"CDM, CAM, CM",78,15000000,69000,27,Everton,English Premier League,France,2021,12
J. Gbamin,"CDM, CM",78,19500000,59000,24,Everton,English Premier League,Côte d'Ivoire,2021,12
Y. Mina,CB,78,15500000,66000,25,Everton,English Premier League,Colombia,2021,12
F. Delph,"CDM, CM, LB",77,9000000,65000,30,Everton,English Premier League,England,2021,12
A. Iwobi,LM,77,15000000,62000,24,Everton,English Premier League,Nigeria,2021,12
M. Holgate,"CB, RB",77,13500000,56000,23,Everton,English Premier League,England,2021,12
T. Walcott,RM,76,6000000,66000,31,Everton,English Premier League,England,2021,12
J. Kenny,"RB, RWB",76,14500000,52000,23,Everton,English Premier League,England,2021,12
Y. Bolasie,"LW, RW",75,4700000,69000,31,Everton,English Premier League,Congo DR,2021,12
C. Tosun,ST,75,5500000,71000,29,Everton,English Premier League,Turkey,2021,12
T. Davies,"CM, CDM",75,8500000,55000,22,Everton,English Premier League,England,2021,12
M. Kean,ST,74,9500000,48000,20,Everton,English Premier League,Italy,2021,12
J. Lössl,GK,73,1600000,40000,31,Everton,English Premier League,Denmark,2021,12
Sandro,"ST, LW",73,4400000,51000,24,Everton,English Premier League,Spain,2021,12
M. Bešić,CM,70,1700000,36000,27,Everton,English Premier League,Bosnia and Herzegovina,2021,12
B. Baningime,"CDM, CM",67,2200000,15000,21,Everton,English Premier League,Congo DR,2021,12
A. Gordon,"LW, LM, CF",65,1800000,11000,19,Everton,English Premier League,England,2021,12
João Virgínia,GK,63,1000000,7000,20,Everton,English Premier League,Portugal,2021,12
E. Simms,ST,63,1300000,9000,19,Everton,English Premier League,England,2021,12
K. John,"RB, RM",62,900000,6000,19,Everton,English Premier League,England,2021,12
L. Gibson,"CB, LB",60,600000,5000,19,Everton,English Premier League,England,2021,12
J. Branthwaite,CB,60,750000,3000,18,Everton,English Premier League,England,2021,12
L. Digne,LB,84,40500000,110000,27,Everton,English Premier League,France,2022,10
J. Rodríguez,"RW, CAM, CM",81,25500000,105000,29,Everton,English Premier League,Colombia,2022,10
Allan,"CDM, CM",83,30500000,100000,30,Everton,English Premier League,Brazil,2022,10
Richarlison,"ST, LW, LM",82,46500000,100000,24,Everton,English Premier League,Brazil,2022,10
D. Calvert-Lewin,ST,81,37500000,90000,24,Everton,English Premier League,England,2022,10
A. Doucouré,"CM, CDM",79,17500000,87000,28,Everton,English Premier League,France,2022,10
M. Keane,CB,80,20000000,84000,28,Everton,English Premier League,England,2022,10
J. Pickford,GK,83,33000000,83000,27,Everton,English Premier League,England,2022,10
G. Sigurðsson,"CAM, CM",79,14500000,83000,31,Everton,English Premier League,Iceland,2022,10
S. Rondón,ST,77,9000000,77000,31,Everton,English Premier League,Venezuela,2022,10
Y. Mina,CB,79,19000000,76000,26,Everton,English Premier League,Colombia,2022,10
A. Townsend,"RM, RW",77,10500000,74000,29,Everton,English Premier League,England,2022,10
André Gomes,"CM, CDM",77,11000000,71000,27,Everton,English Premier League,Portugal,2022,10
S. Coleman,RB,78,9500000,69000,32,Everton,English Premier League,Republic of Ireland,2022,10
A. Iwobi,"RM, LW",77,13000000,68000,25,Everton,English Premier League,Nigeria,2022,10
D. Gray,"LW, RW, CAM",75,7500000,66000,25,Everton,English Premier League,England,2022,10
C. Tosun,ST,74,4100000,63000,30,Everton,English Premier League,Turkey,2022,10
J. Gbamin,"CDM, CM",77,12500000,62000,25,Everton,English Premier League,Côte d'Ivoire,2022,10
F. Delph,"CDM, CM, LB",75,3900000,58000,31,Everton,English Premier League,England,2022,10
M. Holgate,"CB, RB",77,13500000,56000,24,Everton,English Premier League,England,2022,10
B. Godfrey,"CB, LB",77,22000000,56000,23,Everton,English Premier League,England,2022,10
T. Davies,"CM, CDM",75,8000000,55000,23,Everton,English Premier League,England,2022,10
A. Begović,GK,76,1300000,49000,34,Everton,English Premier League,Bosnia and Herzegovina,2022,10
J. Kenny,"RB, RWB",74,4800000,46000,24,Everton,English Premier League,England,2022,10
A. Gordon,"LM, CAM",67,2500000,16000,20,Everton,English Premier League,England,2022,10
E. Simms,ST,65,1700000,14000,20,Everton,English Premier League,England,2022,10
J. Branthwaite,CB,66,2100000,9000,19,Everton,English Premier League,England,2022,10
K. John,"RB, RM",63,1100000,9000,20,Everton,English Premier League,England,2022,10
E. Iversen,CM,57,400000,8000,20,Everton,English Premier League,Norway,2022,10
A. Lonergan,GK,64,60000,7000,37,Everton,English Premier League,England,2022,10
R. Astley,CB,62,975000,6000,19,Everton,English Premier League,Wales,2022,10
L. Dobbin,ST,57,425000,5000,18,Everton,English Premier League,England,2022,10
T. Onyango,CM,60,775000,4000,18,Everton,English Premier League,England,2022,10
A. Areola,GK,82,32000000,71000,27,Fulham,English Premier League,France,2022,18
M. Lemina,"CM, CDM",77,12500000,52000,26,Fulham,English Premier League,Gabon,2022,18
A. Mitrović,ST,77,14000000,90000,25,Fulham,English Premier League,Serbia,2022,18
K. Tete,RB,77,14000000,68000,24,Fulham,English Premier League,Netherlands,2022,18
J. Seri,"CM, CDM",77,10500000,90000,28,Fulham,English Premier League,Côte d'Ivoire,2022,18
A. Zambo Anguissa,"CM, CDM",77,16500000,76000,24,Fulham,English Premier League,Cameroon,2022,18
T. Cairney,"CAM, CM",76,7500000,85000,29,Fulham,English Premier League,Scotland,2022,18
Ivan Cavaleiro,"LW, RW, LM",75,6500000,84000,26,Fulham,English Premier League,Portugal,2022,18
Fabricio,GK,74,2100000,53000,32,Fulham,English Premier League,Spain,2022,18
J. Bryan,"LB, LWB",74,4500000,66000,26,Fulham,English Premier League,England,2022,18
A. Knockaert,"RW, RM",74,4200000,81000,28,Fulham,English Premier League,France,2022,18
M. Rodák,GK,74,7000000,44000,23,Fulham,English Premier League,Slovakia,2022,18
H. Reed,CDM,73,4300000,57000,25,Fulham,English Premier League,England,2022,18
O. Aina,"LM, RM, RB",73,6000000,28000,23,Fulham,English Premier League,Nigeria,2022,18
A. Robinson,"LB, LWB",73,6500000,52000,22,Fulham,English Premier League,United States,2022,18
S. Johansen,"CM, CDM",72,2300000,61000,29,Fulham,English Premier League,Norway,2022,18
M. Hector,CB,72,2500000,53000,27,Fulham,English Premier League,Jamaica,2022,18
B. Decordova-Reid,"ST, LW, CAM",72,2700000,63000,27,Fulham,English Premier League,Jamaica,2022,18
K. McDonald,CDM,71,1300000,47000,31,Fulham,English Premier League,Scotland,2022,18
D. Odoi,"RB, CB",71,1300000,47000,32,Fulham,English Premier League,Belgium,2022,18
M. Le Marchand,"CB, LB",70,1300000,41000,30,Fulham,English Premier League,France,2022,18
T. Ream,CB,70,1000000,41000,32,Fulham,English Premier League,United States,2022,18
N. Kebano,"LW, LM, CAM",70,1600000,50000,28,Fulham,English Premier League,Congo DR,2022,18
A. Kamara,"ST, RW",70,2200000,47000,25,Fulham,English Premier League,France,2022,18
J. Onomah,"CM, CAM, LM",67,2300000,24000,23,Fulham,English Premier League,England,2022,18
J. Opoku,"LB, CB",66,1800000,15000,21,Fulham,English Premier League,England,2022,18
S. Jasper,"LM, CAM",61,850000,8000,19,Fulham,English Premier League,England,2022,18
J. Mundle-Smith,"LB, CB",59,525000,8000,20,Fulham,English Premier League,England,2022,18
J. Stansfield,"ST, CF",58,650000,3000,17,Fulham,English Premier League,England,2022,18
T. Francois,CM,57,400000,7000,19,Fulham,English Premier League,Australia,2022,18
T. Abraham,ST,57,425000,8000,19,Fulham,English Premier League,England,2022,18
F. Carvalho,CAM,57,525000,2000,17,Fulham,English Premier League,England,2022,18
J. Harris,CM,55,275000,9000,20,Fulham,English Premier League,England,2022,18
Raphinha,"RM, RW",82,46000000,89000,24,Leeds United,English Premier League,Brazil,2022,9
Rodrigo,"CAM, ST, CM",79,17000000,83000,30,Leeds United,English Premier League,Spain,2022,9
K. Phillips,"CDM, CM, CB",81,32500000,82000,25,Leeds United,English Premier League,England,2022,9
P. Bamford,ST,78,15000000,82000,27,Leeds United,English Premier League,England,2022,9
J. Harrison,"LM, RM",78,22000000,66000,24,Leeds United,English Premier League,England,2022,9
Diego Llorente,CB,77,11000000,65000,27,Leeds United,English Premier League,Spain,2022,9
L. Ayling,"RB, CB",76,6500000,63000,29,Leeds United,English Premier League,England,2022,9
M. Klich,CM,75,4600000,63000,31,Leeds United,English Premier League,Poland,2022,9
S. Dallas,"CM, LB, RB",75,5500000,63000,30,Leeds United,English Premier League,Northern Ireland,2022,9
D. James,"RM, LM",77,16000000,62000,23,Leeds United,English Premier League,Wales,2022,9
L. Cooper,CB,75,4700000,60000,29,Leeds United,English Premier League,Scotland,2022,9
Junior Firpo,"LB, LM",78,18500000,59000,24,Leeds United,English Premier League,Spain,2022,9
R. Koch,"CB, CDM",77,19500000,56000,24,Leeds United,English Premier League,Germany,2022,9
T. Roberts,"CAM, CM, ST",73,6000000,47000,22,Leeds United,English Premier League,Wales,2022,9
A. Forshaw,"CM, CDM",71,1800000,44000,29,Leeds United,English Premier League,England,2022,9
P. Struijk,"CB, CDM",74,9000000,38000,21,Leeds United,English Premier League,Netherlands,2022,9
I. Meslier,GK,77,20500000,34000,21,Leeds United,English Premier League,France,2022,9
J. Shackleton,"CM, RB",69,3100000,23000,21,Leeds United,English Premier League,England,2022,9
C. Summerville,"RM, LM",68,2900000,15000,19,Leeds United,English Premier League,Netherlands,2022,9
J. Gelhardt,"ST, CAM",66,2200000,13000,19,Leeds United,English Premier League,England,2022,9
S. Greenwood,"CF, CAM, CM",65,1900000,11000,19,Leeds United,English Premier League,England,2022,9
K. Klaesson,GK,64,1200000,7000,20,Leeds United,English Premier League,Norway,2022,9
C. Drameh,"RB, RWB",63,1200000,7000,19,Leeds United,English Premier League,England,2022,9
L. McCarron,"LB, LM, RM",59,575000,7000,20,Leeds United,English Premier League,Scotland,2022,9
J. Jenkins,"CDM, CM",61,800000,6000,19,Leeds United,English Premier League,England,2022,9
L. Bate,"CM, CDM",63,1300000,5000,18,Leeds United,English Premier League,England,2022,9
C. Cresswell,CB,63,1100000,4000,18,Leeds United,English Premier League,England,2022,9
S. McGurk,"CAM, LM",61,825000,4000,18,Leeds United,English Premier League,England,2022,9
A. Miller,"RM, LM, ST",60,625000,4000,18,Leeds United,English Premier League,England,2022,9
D. van den Heuvel,GK,59,550000,900,18,Leeds United,English Premier League,Netherlands,2022,9
L. Hjelde,"CB, LB",60,575000,500,17,Leeds United,English Premier League,Norway,2022,9
K. Schmeichel,GK,83,15500000,83000,32,Leicester City,English Premier League,Denmark,2020,9
J. Vardy,ST,82,17500000,110000,32,Leicester City,English Premier League,England,2020,9
Ricardo Pereira,"RB, RM",82,23500000,89000,25,Leicester City,English Premier League,Portugal,2020,9
W. Ndidi,"CDM, CM",81,20500000,74000,22,Leicester City,English Premier League,Nigeria,2020,9
Y. Tielemans,"CM, CDM",80,20500000,77000,22,Leicester City,English Premier League,Belgium,2020,9
J. Evans,CB,79,9500000,76000,31,Leicester City,English Premier League,Northern Ireland,2020,9
J. Maddison,"CAM, CM, LW",79,17000000,73000,22,Leicester City,English Premier League,England,2020,9
B. Chilwell,LB,79,15500000,65000,22,Leicester City,English Premier League,England,2020,9
Adrien Silva,"CM, CDM",78,9500000,76000,30,Leicester City,English Premier League,Portugal,2020,9
Ayoze Pérez,"CF, RW, RM",78,13000000,79000,25,Leicester City,English Premier League,Spain,2020,9
M. Albrighton,"RM, LM",76,7500000,69000,29,Leicester City,English Premier League,England,2020,9
D. Praet,"CM, CAM",76,10000000,63000,25,Leicester City,English Premier League,Belgium,2020,9
F. Benković,CB,76,11000000,43000,21,Leicester City,English Premier League,Croatia,2020,9
W. Morgan,CB,75,2000000,41000,35,Leicester City,English Premier League,Jamaica,2020,9
N. Mendy,"CDM, CM",75,6000000,58000,27,Leicester City,English Premier League,France,2020,9
D. Gray,"LW, RW",75,9000000,60000,23,Leicester City,English Premier League,England,2020,9
H. Barnes,"LW, CAM",75,10500000,52000,21,Leicester City,English Premier League,England,2020,9
R. Ghezzal,"RW, RM",74,6000000,63000,27,Leicester City,English Premier League,Algeria,2020,9
I. Slimani,ST,74,5000000,63000,31,Leicester City,English Premier League,Algeria,2020,9
H. Choudhury,"CDM, CM",74,8000000,38000,21,Leicester City,English Premier League,England,2020,9
Ç. Söyüncü,CB,74,7500000,46000,23,Leicester City,English Premier League,Turkey,2020,9
C. Fuchs,LB,73,1800000,49000,33,Leicester City,English Premier League,Austria,2020,9
D. Ward,GK,73,3300000,40000,26,Leicester City,English Premier League,Wales,2020,9
D. Amartey,"RB, CM, CB",73,4500000,42000,24,Leicester City,English Premier League,Ghana,2020,9
K. Iheanacho,"ST, CAM",73,5500000,51000,22,Leicester City,English Premier League,Nigeria,2020,9
B. Kapustka,"LM, CAM",71,3500000,36000,22,Leicester City,English Premier League,Poland,2020,9
F. Diabaté,"RW, LW, ST",70,2400000,35000,23,Leicester City,English Premier League,Mali,2020,9
J. Justin,"RB, LB",69,2100000,20000,21,Leicester City,English Premier League,England,2020,9
E. Jakupović,GK,68,400000,19000,34,Leicester City,English Premier League,Switzerland,2020,9
M. James,"CM, CDM",68,925000,26000,27,Leicester City,English Premier League,England,2020,9
G. Thomas,"CAM, RM",65,925000,15000,22,Leicester City,English Premier League,Wales,2020,9
S. Hughes,CB,65,800000,13000,22,Leicester City,English Premier League,England,2020,9
A. Paşcanu,"CB, RB, LB",61,525000,7000,20,Leicester City,English Premier League,Romania,2020,9
J. Vardy,ST,86,43500000,160000,33,Leicester City,English Premier League,England,2021,5
Ricardo Pereira,RB,85,61000000,120000,26,Leicester City,English Premier League,Portugal,2021,5
K. Schmeichel,GK,84,13500000,90000,33,Leicester City,English Premier League,Denmark,2021,5
W. Ndidi,"CDM, CM",84,55000000,95000,23,Leicester City,English Premier League,Nigeria,2021,5
Y. Tielemans,CM,81,36500000,82000,23,Leicester City,English Premier League,Belgium,2021,5
J. Maddison,"CAM, CM, LW",81,37000000,82000,23,Leicester City,English Premier League,England,2021,5
J. Evans,CB,80,13500000,81000,32,Leicester City,English Premier League,Northern Ireland,2021,5
Ç. Söyüncü,CB,80,29000000,69000,24,Leicester City,English Premier League,Turkey,2021,5
Ayoze Pérez,"RW, RM",79,19000000,90000,26,Leicester City,English Premier League,Spain,2021,5
H. Barnes,"LW, CAM",79,28000000,80000,22,Leicester City,English Premier League,England,2021,5
C. Ünder,"RM, RW",78,22500000,66000,22,Leicester City,English Premier League,Turkey,2021,5
I. Slimani,ST,77,8500000,77000,32,Leicester City,English Premier League,Algeria,2021,5
T. Castagne,"RM, LM",77,16000000,62000,24,Leicester City,English Premier League,Belgium,2021,5
M. Albrighton,"RM, LM",76,7000000,66000,30,Leicester City,English Premier League,England,2021,5
Adrien Silva,"CM, CDM",76,6000000,66000,31,Leicester City,English Premier League,Portugal,2021,5
D. Praet,CM,76,9000000,66000,26,Leicester City,English Premier League,Belgium,2021,5
N. Mendy,"CDM, CM",75,4900000,60000,28,Leicester City,English Premier League,France,2021,5
D. Gray,LM,75,8000000,55000,24,Leicester City,English Premier League,England,2021,5
D. Ward,GK,74,3600000,43000,27,Leicester City,English Premier League,Wales,2021,5
K. Iheanacho,"ST, CF",74,6500000,56000,23,Leicester City,English Premier League,Nigeria,2021,5
H. Choudhury,"CDM, CM",74,6000000,46000,22,Leicester City,English Premier League,England,2021,5
F. Benković,CB,74,8000000,46000,22,Leicester City,English Premier League,Croatia,2021,5
W. Morgan,CB,73,550000,35000,36,Leicester City,English Premier League,Jamaica,2021,5
C. Fuchs,LB,73,1100000,49000,34,Leicester City,English Premier League,Austria,2021,5
R. Ghezzal,"RW, RM",73,3100000,61000,28,Leicester City,English Premier League,Algeria,2021,5
D. Amartey,"RB, CDM",73,3700000,47000,25,Leicester City,English Premier League,Ghana,2021,5
J. Justin,"RB, LB",73,6500000,42000,22,Leicester City,English Premier League,England,2021,5
F. Diabaté,"LM, RM, ST",71,2700000,36000,24,Leicester City,English Premier League,Mali,2021,5
E. Jakupović,GK,66,90000,9000,35,Leicester City,English Premier League,Switzerland,2021,5
M. James,"CM, CDM",66,850000,20000,28,Leicester City,English Premier League,England,2021,5
S. Hughes,CB,63,1000000,11000,23,Leicester City,English Premier League,England,2021,5
K. Dewsbury-Hall,"CM, CDM",62,900000,9000,21,Leicester City,English Premier League,England,2021,5
L. Thomas,LB,62,1000000,6000,19,Leicester City,English Premier League,England,2021,5
J. Vardy,ST,86,33000000,180000,34,Leicester City,English Premier League,England,2022,5
Ricardo Pereira,"RB, RM",84,40500000,130000,27,Leicester City,English Premier League,Portugal,2022,5
Y. Tielemans,"CM, CDM",84,57000000,125000,24,Leicester City,English Premier League,Belgium,2022,5
W. Ndidi,"CDM, CM",85,66500000,120000,24,Leicester City,English Premier League,Nigeria,2022,5
K. Schmeichel,GK,85,9000000,115000,34,Leicester City,English Premier League,Denmark,2022,5
J. Maddison,"CAM, CM",82,41500000,100000,24,Leicester City,English Premier League,England,2022,5
H. Barnes,"LM, LW",81,35000000,95000,23,Leicester City,English Premier League,England,2022,5
J. Evans,CB,80,10000000,95000,33,Leicester City,English Premier League,Northern Ireland,2022,5
Ayoze Pérez,"RW, RM",78,15000000,95000,27,Leicester City,English Premier League,Spain,2022,5
Ç. Söyüncü,CB,80,25000000,88000,25,Leicester City,English Premier League,Turkey,2022,5
T. Castagne,"RB, RM",79,21500000,84000,25,Leicester City,English Premier League,Belgium,2022,5
J. Vestergaard,CB,78,13500000,83000,28,Leicester City,English Premier League,Denmark,2022,5
K. Iheanacho,"ST, CF",78,20500000,83000,24,Leicester City,English Premier League,Nigeria,2022,5
P. Daka,ST,77,21500000,78000,22,Leicester City,English Premier League,Zambia,2022,5
M. Albrighton,"RM, RWB",76,6000000,76000,31,Leicester City,English Premier League,England,2022,5
R. Bertrand,LB,76,5500000,70000,31,Leicester City,English Premier League,England,2022,5
D. Amartey,"CB, RB, CDM",76,8500000,70000,26,Leicester City,English Premier League,Ghana,2022,5
N. Mendy,"CDM, CM",75,4800000,70000,29,Leicester City,English Premier League,Senegal,2022,5
B. Soumaré,"CDM, CM",78,27000000,68000,22,Leicester City,English Premier League,France,2022,5
J. Justin,"LWB, LB",77,15500000,64000,23,Leicester City,English Premier League,England,2022,5
W. Fofana,CB,78,29000000,57000,20,Leicester City,English Premier League,France,2022,5
A. Lookman,"LM, CAM, ST",77,16500000,54000,23,Leicester City,English Premier League,England,2022,5
D. Ward,GK,74,3000000,53000,28,Leicester City,English Premier League,Wales,2022,5
H. Choudhury,"CDM, CM",73,4000000,48000,23,Leicester City,English Premier League,England,2022,5
K. Dewsbury-Hall,"CM, CDM",71,4200000,42000,22,Leicester City,English Premier League,England,2022,5
F. Benković,CB,71,2700000,38000,23,Leicester City,English Premier League,Croatia,2022,5
L. Thomas,"LWB, LB",71,3900000,32000,20,Leicester City,English Premier League,England,2022,5
J. Eppiah,ST,63,975000,15000,22,Leicester City,English Premier League,Belgium,2022,5
A. Reghba,CF,58,500000,10000,21,Leicester City,English Premier League,Republic of Ireland,2022,5
T. Suengchitthawon,CAM,60,600000,9000,21,Leicester City,English Premier League,Thailand,2022,5
E. Jakupović,GK,64,60000,8000,36,Leicester City,English Premier League,Switzerland,2022,5
V. Daley-Campbell,RB,60,575000,8000,20,Leicester City,English Premier League,England,2022,5
O. Bosworth,GK,60,575000,4000,19,Leicester City,English Premier League,England,2022,5
V. van Dijk,CB,90,78000000,200000,27,Liverpool,English Premier League,Netherlands,2020,2
M. Salah,"RW, ST",90,80500000,240000,27,Liverpool,English Premier League,Egypt,2020,2
Alisson,GK,89,58000000,155000,26,Liverpool,English Premier League,Brazil,2020,2
S. Mané,"LW, LM",88,62000000,220000,27,Liverpool,English Premier League,Senegal,2020,2
Roberto Firmino,"CF, ST, CAM",86,52000000,170000,27,Liverpool,English Premier League,Brazil,2020,2
Fabinho,CDM,85,45000000,125000,25,Liverpool,English Premier League,Brazil,2020,2
A. Robertson,LB,85,43500000,125000,25,Liverpool,English Premier League,Scotland,2020,2
G. Wijnaldum,"CM, CDM",84,31000000,135000,28,Liverpool,English Premier League,Netherlands,2020,2
J. Henderson,"CDM, CM",83,22000000,115000,29,Liverpool,English Premier League,England,2020,2
T. Alexander-Arnold,RB,83,32000000,78000,20,Liverpool,English Premier League,England,2020,2
X. Shaqiri,"RW, RM",82,23000000,120000,27,Liverpool,English Premier League,Switzerland,2020,2
J. Matip,CB,82,23000000,100000,27,Liverpool,English Premier League,Cameroon,2020,2
N. Keïta,"CM, CDM",82,29000000,95000,24,Liverpool,English Premier League,Guinea,2020,2
J. Milner,"CM, LB",81,10500000,100000,33,Liverpool,English Premier League,England,2020,2
D. Lovren,CB,80,12500000,90000,29,Liverpool,English Premier League,Croatia,2020,2
A. Oxlade-Chamberlain,"CM, RM",80,18500000,90000,25,Liverpool,English Premier League,England,2020,2
J. Gomez,"CB, RB",80,20000000,74000,22,Liverpool,English Premier League,England,2020,2
A. Lallana,CM,79,11000000,89000,31,Liverpool,English Premier League,England,2020,2
N. Clyne,RB,78,9000000,77000,28,Liverpool,English Premier League,England,2020,2
D. Origi,ST,78,14000000,77000,24,Liverpool,English Premier League,Belgium,2020,2
Adrián,GK,76,4700000,52000,32,Liverpool,English Premier League,Spain,2020,2
R. Kent,"LW, LM, RW",73,7000000,55000,22,Liverpool,English Premier League,England,2020,2
H. Kane,CM,67,1200000,18000,20,Liverpool,English Premier League,England,2020,2
Pedro Chirivella,"CM, CDM",66,925000,18000,22,Liverpool,English Premier League,Spain,2020,2
S. van den Berg,CB,66,1200000,850,17,Liverpool,English Premier League,Netherlands,2020,2
A. Lonergan,GK,65,150000,9000,35,Liverpool,English Premier League,England,2020,2
R. Brewster,ST,64,975000,11000,19,Liverpool,English Premier League,England,2020,2
K. Hoever,"RB, CB",62,625000,550,17,Liverpool,English Premier League,Netherlands,2020,2
C. Jones,"CM, CAM, LM",61,575000,4000,18,Liverpool,English Premier League,England,2020,2
A. Lewis,"LB, LM, CM",60,400000,5000,19,Liverpool,English Premier League,England,2020,2
P. Glatzel,ST,60,425000,5000,18,Liverpool,English Premier League,Germany,2020,2
C. Kelleher,GK,59,300000,5000,20,Liverpool,English Premier League,Republic of Ireland,2020,2
Y. Larouci,LB,59,300000,3000,18,Liverpool,English Premier League,Algeria,2020,2
V. van Dijk,CB,90,113000000,210000,28,Liverpool,English Premier League,Netherlands,2021,1
S. Mané,LW,90,120500000,250000,28,Liverpool,English Premier League,Senegal,2021,1
M. Salah,RW,90,120500000,250000,28,Liverpool,English Premier League,Egypt,2021,1
Alisson,GK,90,102000000,160000,27,Liverpool,English Premier League,Brazil,2021,1
Roberto Firmino,CF,87,81500000,190000,28,Liverpool,English Premier League,Brazil,2021,1
Fabinho,CDM,87,88500000,155000,26,Liverpool,English Premier League,Brazil,2021,1
A. Robertson,LB,87,90500000,155000,26,Liverpool,English Premier League,Scotland,2021,1
T. Alexander-Arnold,RB,87,114000000,110000,21,Liverpool,English Premier League,England,2021,1
J. Henderson,"CDM, CM",86,57000000,140000,30,Liverpool,English Premier League,England,2021,1
G. Wijnaldum,CM,85,52500000,150000,29,Liverpool,English Premier League,Netherlands,2021,1
Thiago,"CM, CDM",85,52500000,150000,29,Liverpool,English Premier League,Spain,2021,1
J. Matip,CB,83,34500000,115000,28,Liverpool,English Premier League,Cameroon,2021,1
J. Gomez,CB,83,49500000,95000,23,Liverpool,English Premier League,England,2021,1
X. Shaqiri,RM,81,26000000,105000,28,Liverpool,English Premier League,Switzerland,2021,1
N. Keïta,CM,81,35500000,95000,25,Liverpool,English Premier League,Guinea,2021,1
J. Milner,"CM, RB, LB",80,9500000,95000,34,Liverpool,English Premier League,England,2021,1
Diogo Jota,"LW, ST, CM",80,33500000,90000,23,Liverpool,English Premier League,Portugal,2021,1
A. Oxlade-Chamberlain,CM,79,20500000,89000,26,Liverpool,English Premier League,England,2021,1
L. Karius,GK,78,14000000,60000,27,Liverpool,English Premier League,Germany,2021,1
D. Origi,"ST, LW",77,15500000,79000,25,Liverpool,English Premier League,Belgium,2021,1
H. Wilson,"RM, CM",77,16500000,66000,23,Liverpool,English Premier League,Wales,2021,1
T. Minamino,"RW, ST",77,14000000,79000,25,Liverpool,English Premier League,Japan,2021,1
Adrián,GK,76,2400000,52000,33,Liverpool,English Premier League,Spain,2021,1
K. Tsimikas,"LB, LWB",76,10500000,55000,24,Liverpool,English Premier League,Greece,2021,1
M. Grujić,"CM, CDM",75,9000000,58000,24,Liverpool,English Premier League,Serbia,2021,1
R. Brewster,ST,70,3900000,32000,20,Liverpool,English Premier League,England,2021,1
N. Phillips,CB,68,2200000,22000,23,Liverpool,English Premier League,England,2021,1
N. Williams,RB,67,2500000,11000,19,Liverpool,English Premier League,Wales,2021,1
B. Woodburn,"CAM, LM",66,2100000,15000,20,Liverpool,English Premier League,Wales,2021,1
S. van den Berg,CB,65,1700000,5000,18,Liverpool,English Premier League,Netherlands,2021,1
H. Elliott,RW,65,1900000,4000,17,Liverpool,English Premier League,England,2021,1
C. Jones,"CM, CAM, LM",64,1600000,9000,19,Liverpool,English Premier League,England,2021,1
C. Kelleher,GK,61,700000,6000,21,Liverpool,English Premier League,Republic of Ireland,2021,1
S. Mané,LW,89,101000000,270000,29,Liverpool,English Premier League,Senegal,2022,3
M. Salah,RW,89,101000000,270000,29,Liverpool,English Premier League,Egypt,2022,3
V. van Dijk,CB,89,86000000,230000,29,Liverpool,English Premier League,Netherlands,2022,3
